#Vapd	I_light ErrI_light I_dark ErrI_dark 
0	117.28	0.01	4.78	0.01	
20	122.88	0.01	15.57	0.01	
40	129.08	0.01	21.9	0.1	
60	137.74	0.01	26.8	0.1	
80	148.09	0.01	30.1	0.1	
100	161.24	0.01	31.5	0.1	
120	178.19	0.01	32.8	0.1	
140	200.20	0.01	34.0	0.1	
160	229.98	0.01	36.3	0.1	
180	269.40	0.01	39.2	0.1	
200	322.26	0.01	40.8	0.1	
220	393.19	0.01	41.7	0.1	
240	487.9	0.1	42.4	0.1	
260	629.7	0.1	47.2	0.1	
280	859.6	0.1	65.9	0.1	
300	1233.1	0.1	76.2	0.1	
320	1886	1	84.0	0.1	
340	3219	1	92.8	0.1	
350	4609	1	99.9	0.1	
360	6942	1	107.9	0.1	
370	12290	1	120.3	0.1	
375	18094	1	127.2	0.1	
380	30130	10	136.8	0.1	
381	35590	10	138.5	0.1	
382	38490	10	140.3	0.1	
383	46840	10	142.7	0.1	
384	56791	10	145.4	0.1	
385	68600	100	148.4	0.1	
386	96500	100	153.9	0.1	
387	113000	1000	158.9	0.1	
388	147000	1000	180	1	
389	190000	1000	800	50	
390	2500000	100000	10000	1000	
