gun:	500,38	500,38	300,38	300,38	190,38	500,38	500,38	90,32
10	0.04	0.04	0.00	0.00	0.00	0.04	0.03	0.00
40	0.035	0.04	0.02	0.02	0.02	0.03	0.03	0.03
80	0.04	0.045	0.02	0.02	0.02	0.04	0.03	0.03
100	0.05	0.05	0.02	0.02	0.02	0.04	0.04	0.03
125	0.06	0.06	0.03	0.02	0.03	0.05	0.05	0.03
150	0.07	0.07	0.03	0.03	0.03	0.06	0.06	0.03
200	0.12	0.115	0.04	0.04	0.03	0.11	0.10	0.04
250	0.21	0.20	0.05	0.05	0.04	0.19	0.18	0.04
275	0.30	0.29	0.07	0.07	0.04	0.28	0.26	0.045
300	0.48	0.45	0.09	0.09	0.05	0.45	0.42	0.05
310	0.59	0.555	0.11	0.11	0.05	0.55	0.51	0.05
320	0.75	0.70	0.13	0.13	0.06	0.70	0.65	0.05
330	0.96	0.89	0.16	0.16	0.07	0.90	0.85	0.06
340	1.28	1.20	0.21	0.21	0.08	1.21	1.14	0.06
350	1.82	1.68	0.29	0.28	0.10	1.70	1.61	0.07
355	2.21	2.06	0.34	0.34	0.115	2.09	1.93	0.08
360	2.77	2.54	0.43	0.42	0.13	2.64	2.46	0.09
365	3.64	3.37	0.53	0.54	0.16	3.36	3.11	0.10
370	4.86	4.49	0.72	0.72	0.21	4.62	4.29	0.12
375	7.09	6.70	1.03	1.00	0.29	6.58	6.24	0.14
380	8.5	8	1.66	1.64	0.47	8	7.5	0.205
381	10	9	1.97	1.94	0.52	10	9	0.23
382	12	11	2.28	2.18	0.59	13	10	0.25
383	16	14	2.58	2.64	0.74	16	13	0.29
384	17	18	3.31	3.17	0.87	17	15	0.34
385	26	23	4.09	4.00	1.08	23	20.5	0.43
