Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1
-50	-1.03E-07	-50	-1.03E-07
-49	-1.03E-07	-49	-1.03E-07
-48	-1.03E-07	-48	-1.03E-07
-47	-1.03E-07	-47	-1.03E-07
-46	-1.03E-07	-46	-1.03E-07
-45	-1.03E-07	-45	-1.03E-07
-44	-1.03E-07	-44	-1.03E-07
-43	-1.03E-07	-43	-1.03E-07
-42	-1.03E-07	-42	-1.03E-07
-41	-1.03E-07	-41	-1.03E-07
-40	-1.03E-07	-40	-1.03E-07
-39	-1.03E-07	-39	-1.03E-07
-38	-1.03E-07	-38	-1.03E-07
-37	-1.03E-07	-37	-1.03E-07
-36	-1.03E-07	-36	-1.03E-07
-35	-1.03E-07	-35	-1.03E-07
-34	-1.03E-07	-34	-1.03E-07
-33	-1.03E-07	-33	-1.03E-07
-32	-1.04E-07	-32	-1.04E-07
-31	-1.06E-07	-31	-1.06E-07
-30	-1.09E-07	-30	-1.09E-07
-29	-1.14E-07	-29	-1.14E-07
-28	-1.19E-07	-28	-1.19E-07
-27	-1.25E-07	-27	-1.25E-07
-26	-1.32E-07	-26	-1.32E-07
-25	-1.37E-07	-25	-1.37E-07
-24	-1.44E-07	-24	-1.44E-07
-23	-1.49E-07	-23	-1.49E-07
-22	-1.54E-07	-22	-1.54E-07
-21	-1.57E-07	-21	-1.57E-07
-20	-1.61E-07	-20	-1.61E-07
-19	-1.63E-07	-19	-1.63E-07
-18	-1.64E-07	-18	-1.64E-07
-17	-1.64E-07	-17	-1.64E-07
-16	-1.62E-07	-16	-1.62E-07
-15	-1.60E-07	-15	-1.60E-07
-14	-1.56E-07	-14	-1.56E-07
-13	-1.52E-07	-13	-1.52E-07
-12	-1.47E-07	-12	-1.47E-07
-11	-1.41E-07	-11	-1.41E-07
-10	-1.35E-07	-10	-1.35E-07
-9	-1.29E-07	-9	-1.29E-07
-8	-1.23E-07	-8	-1.23E-07
-7	-1.18E-07	-7	-1.18E-07
-6	-1.14E-07	-6	-1.14E-07
-5	-1.11E-07	-5	-1.11E-07
-4	-1.09E-07	-4	-1.09E-07
-3	-1.08E-07	-3	-1.08E-07
-2	-1.07E-07	-2	-1.07E-07
-1	-1.06E-07	-1	-1.06E-07
0	-1.05E-07	0	-1.05E-07
