Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1
-20	-1.02E-07	-20	-1.02E-07
-18	-1.02E-07	-18	-1.02E-07
-16	-1.02E-07	-16	-1.02E-07
-14	-1.02E-07	-14	-1.02E-07
-12	-1.02E-07	-12	-1.02E-07
-10	-1.02E-07	-10	-1.02E-07
-8	-1.02E-07	-8	-1.02E-07
-6	-1.02E-07	-6	-1.02E-07
-4	-1.02E-07	-4	-1.02E-07
-2	-1.02E-07	-2	-1.02E-07
0	-1.02E-07	0	-1.02E-07
2	-1.02E-07	2	-1.02E-07
4	-1.02E-07	4	-1.02E-07
6	-1.03E-07	6	-1.03E-07
8	-1.03E-07	8	-1.03E-07
10	-1.03E-07	10	-1.03E-07
12	-1.04E-07	12	-1.04E-07
14	-1.04E-07	14	-1.04E-07
16	-1.04E-07	16	-1.04E-07
18	-1.04E-07	18	-1.04E-07
20	-1.04E-07	20	-1.04E-07
22	-1.04E-07	22	-1.04E-07
24	-1.03E-07	24	-1.03E-07
26	-1.03E-07	26	-1.03E-07
28	-1.02E-07	28	-1.02E-07
30	-1.02E-07	30	-1.02E-07
32	-1.02E-07	32	-1.02E-07
34	-1.02E-07	34	-1.02E-07
36	-1.02E-07	36	-1.02E-07
38	-1.02E-07	38	-1.02E-07
40	-1.02E-07	40	-1.02E-07
