#APDhv 380
#L 33
#p_before 8.6E-7
#p_after 8.6E-7
#picoamm keysight
#led SP6505
#DeltaV [V]	I(apd) LED OFF [nA]	σ(I(apd)) LED OFF [nA]	I(apd) LED ON [nA]	σ(I(apd)) LED ON [nA]
0	99.766	0.092	100.037	0.086
-100	99.7184	0.0892	99.94	0.094
-200	99.6048	0.0895	99.8814	0.0899
-300	99.5158	0.0843	99.7366	0.0834
-500	99.4493	0.0891	99.7108	0.0876
-700	99.4029	0.0842	99.6394	0.0845
-900	99.3782	0.0838	99.5908	0.0819
-1100	99.325	0.0817	99.5523	0.0878
-1300	99.5875	0.1019	99.8802	0.1151
#-1500	135.2865	6.2383	122.5763	4.724
#-1500	114.0396	2.2348	117.3374	2.9551
#-1500	115.7554	4.1561	121.6049	2.8455
#-1500	123.8403	3.4059	129.2919	3.9447
#-1500	120.9499	2.9344	120.5477	2.8881
#-1500	120.8169	2.7309	121.0824	2.8677
#-1500	120.3486	2.9482	117.6452	2.3238
#-1500	126.7672	3.7653	128.0981	3.3335
##0	98.9193	0.0734	99.1438	0.0825
