#APDhv 380
#cnt_sample trieste_dec2019_ITOback_A
#L 33
#p_before 2.70E-6
#p_after 2.58E-6
#picoamm keysight
#led SP6505
#DeltaV [V]	I(apd) LED OFF [nA]	σ(I(apd)) LED OFF [nA]	I(apd) LED ON [nA]	σ(I(apd)) LED ON [nA]
0	81.1628	0.0898	81.2881	0.0906
-100	81.207	0.0873	81.3401	0.091
-200	81.2632	0.0911	81.3948	0.0895
-500	81.3381	0.0861	81.46	0.0906
-800	81.3965	0.0839	81.5266	0.0857
-1000	81.4646	0.0866	81.575	0.0872
-1200	81.5163	0.0901	81.6389	0.088
-1400	81.7554	0.1963	82.1213	0.3572
-1450	82.8003	0.5985	83.0513	0.7294
-1502	84.9914	1.7435	83.939	1.2607
-1550	89.3349	3.1621	86.8216	4.6905
#-1600	143.1138	32.3987	167	222
#-1600	126.4013	16.2877	151.6327	9.5403
#-1650	195.2068	22.77	195	134
#-1650	258.048	664	194.5156	23.098
#-1650	264.293	42.17	244.062	55.445
#-1500	97.3102	2.6829	97.7101	2.401
#-1400	84.1639	0.9902	83.1246	0.7774
