=== DATA FILE SAVED WITH SOFTWARE VERSION: V2.9.8 ===
=== WAVECATCHER SYSTEM OF TYPE 3 WITH 72 CHANNELS AND GAIN: 1.0 ===
=== Rate coincidence masks (4 bits) for ch 0 to 63: 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 === Posttrig in ns for SamBlock 0 to 35: 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 0 0 0 0 ===
=== Common: EventNumber UnixTime Date Time TDC ===
=== Individual per channel: ChannelNb EventID MeasuredBaseline[Volts] Amplitude[Volts] Charge[pC] LeadingEdgeTime[ns] TrailingEdgeTime[ns] RateCounter[Hz]=== 
=== Event 1 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 10845 == Nb of channels = 2 ===
16 1 -1.017703 0.017427  274.988 518.032 526.614   26451.94
17 1 0.165478 1.090432 39345.926 702.206 2557.248  100360.58
=== Event 2 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 14100 == Nb of channels = 2 ===
16 2 -1.019116 0.024429  233.547 850.171 1216.540   26451.94
17 2 0.165637 1.084465 39280.160 704.794 2557.250  100360.58
=== Event 3 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 17355 == Nb of channels = 2 ===
16 3 -1.024722 0.021842  487.509 1465.135 1469.883   26451.94
17 3 0.165674 1.084671 39219.410 707.494 2557.250  100360.58
=== Event 4 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 20610 == Nb of channels = 2 ===
16 4 -1.007907 -0.028451 -235.312 2253.146 2557.147   26451.94
17 4 0.165827 1.088397 39086.445 713.108 2557.249  100360.58
=== Event 5 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 23865 == Nb of channels = 2 ===
16 5 -1.002492 -0.018534 -383.948 807.972 824.909   26451.94
17 5 0.165712 1.085475 39106.480 712.492 2557.250  100360.58
=== Event 6 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 27120 == Nb of channels = 2 ===
16 6 -1.016484 0.022260  221.258 1698.107 1703.937   26451.94
17 6 0.166018 1.087991 39053.566 714.445 2557.249  100360.58
=== Event 7 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 30375 == Nb of channels = 2 ===
16 7 -1.007948 -0.020718 -381.756 497.391 502.311   26451.94
17 7 0.166018 1.090301 38955.562 718.976 2557.249  100360.58
=== Event 8 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 33630 == Nb of channels = 2 ===
16 8 -1.016028 0.014215   91.211 755.790 764.367   26451.94
17 8 0.165483 1.085295 39018.824 717.314 2557.250  100360.58
=== Event 9 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 36885 == Nb of channels = 2 ===
16 9 -1.008820 -0.016039  -92.712 1889.867 1895.499   26451.94
17 9 0.165942 1.088771 39130.879 710.904 2557.249  100360.58
=== Event 10 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 40140 == Nb of channels = 2 ===
16 10 -1.013968 0.014976   47.711 690.436 694.334   26451.94
17 10 0.165751 1.086971 39172.812 709.518 2557.249  100360.58
=== Event 11 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 43395 == Nb of channels = 2 ===
16 11 -1.009470 0.013990   19.628 915.973 919.921   26451.94
17 11 0.165597 1.084562 39218.852 707.447 2557.250  100360.58
=== Event 12 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 46650 == Nb of channels = 2 ===
16 12 -1.020489 0.023785  277.778 2076.510 2083.376   26451.94
17 12 0.165788 1.091681 39339.914 701.802 2557.248  100360.58
=== Event 13 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 49905 == Nb of channels = 2 ===
16 13 -1.017171 0.025134  333.741 882.424 887.522   26451.94
17 13 0.165827 1.084578 39421.559 697.657 2557.250  100360.58
=== Event 14 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 53160 == Nb of channels = 2 ===
16 14 -1.009963 -0.019728 -408.789 462.734 517.814   26451.94
17 14 0.165638 1.084520 39429.938 697.602 2557.250  100360.58
=== Event 15 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 56415 == Nb of channels = 2 ===
16 15 -1.020946 0.019189  162.028 2301.600 2306.514   26451.94
17 15 0.165789 1.084236 39488.391 694.842 2557.250  100360.58
=== Event 16 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 59669 == Nb of channels = 2 ===
16 16 -1.022902 0.024924  114.260 1186.964 1191.949   26451.94
17 16 0.166095 1.088280 38686.727 731.160 2557.249  100360.58
=== Event 17 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 62924 == Nb of channels = 2 ===
16 17 -1.013296 0.015671  -32.514 2514.945 2519.939   26451.94
17 17 0.165939 1.087099 38811.223 725.928 2557.249  100360.58
=== Event 18 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 66179 == Nb of channels = 2 ===
16 18 -1.014053 0.020827   46.954 2520.151 2525.127   26451.94
17 18 0.165978 1.084099 38929.293 720.178 2557.250  100360.58
=== Event 19 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 69434 == Nb of channels = 2 ===
16 19 -1.011118 -0.024275 -118.015 1371.691 1376.794   26451.94
17 19 0.165710 1.085691 39046.883 715.425 2557.250  100360.58
=== Event 20 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 72689 == Nb of channels = 2 ===
16 20 -1.016759 -0.016524  209.646 176.529 180.690   26451.94
17 20 0.165595 1.092016 39247.012 706.518 2557.248  100360.58
=== Event 21 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 75944 == Nb of channels = 2 ===
16 21 -1.008523 -0.024409 -289.371 1596.455 1694.194   26451.94
17 21 0.165863 1.090853 39343.172 701.568 2557.248  100360.58
=== Event 22 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 79199 == Nb of channels = 2 ===
16 22 -1.004481 -0.019214 -329.455 1569.442 1574.851   26451.94
17 22 0.165749 1.088920 39457.418 696.269 2557.249  100360.58
=== Event 23 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 82453 == Nb of channels = 2 ===
16 23 -1.014771 0.018912  208.064 408.570 413.344   26451.94
17 23 0.165712 1.087617 38655.883 733.101 2557.249  100360.58
=== Event 24 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 85708 == Nb of channels = 2 ===
16 24 -1.022928 -0.016528   41.110 229.254 234.821   26451.94
17 24 0.165598 1.086575 38799.840 727.151 2557.249  100360.58
=== Event 25 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 88963 == Nb of channels = 2 ===
16 25 -1.024870 0.031731  493.332 1793.650 1801.730   26451.94
17 25 0.165637 1.091053 38805.262 726.809 2557.248  100360.58
=== Event 26 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 92218 == Nb of channels = 2 ===
16 26 -1.023269 0.028344  324.744 638.688 645.371   26451.94
17 26 0.165866 1.084177 38878.805 722.787 2557.250  100360.58
=== Event 27 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 95473 == Nb of channels = 2 ===
16 27 -1.016636 0.021598  253.573 1519.651 1524.894   26451.94
17 27 0.165751 1.088972 38975.750 718.608 2557.249  100360.58
=== Event 28 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 98728 == Nb of channels = 2 ===
16 28 -1.031162 0.042040  722.744 2019.502 2026.692   26451.94
17 28 0.165521 1.084505 39069.801 714.696 2557.250  100360.58
=== Event 29 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 101983 == Nb of channels = 2 ===
16 29 -1.020295 0.024523  142.295 2485.805 2557.178   26451.94
17 29 0.165789 1.084239 39266.770 704.957 2557.250  100360.58
=== Event 30 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 105238 == Nb of channels = 2 ===
16 30 -1.018653 0.011926   -3.323 636.840 645.058   26451.94
17 30 0.165560 1.090008 39454.469 696.934 2557.249  100360.58
=== Event 31 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 108492 == Nb of channels = 2 ===
16 31 -1.012373 -0.016954  -55.347 2286.177 2290.545   26451.94
17 31 0.165598 1.089361 38757.387 729.015 2557.249  100360.58
=== Event 32 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 111747 == Nb of channels = 2 ===
16 32 -1.013612 -0.016563  -65.993 1050.039 1054.703   26451.94
17 32 0.165851 1.091534 38793.133 726.888 2557.248  100360.58
=== Event 33 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 115002 == Nb of channels = 2 ===
16 33 -1.017807 0.016825  214.248 1625.579 1629.511   26451.94
17 33 0.165851 1.086038 38819.469 725.438 2557.250  100360.58
=== Event 34 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 118257 == Nb of channels = 2 ===
16 34 -1.013879 0.020433  145.933 792.391 969.607   26451.94
17 34 0.165927 1.090631 38795.340 726.725 2557.248  100360.58
=== Event 35 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 121512 == Nb of channels = 2 ===
16 35 -1.020438 0.016367  243.486 1283.195 1287.441   26451.94
17 35 0.165888 1.085131 38878.102 722.790 2557.250  100360.58
=== Event 36 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 124767 == Nb of channels = 2 ===
16 36 -1.016397 -0.015167  -19.919 487.568 491.681   26451.94
17 36 0.165546 1.086961 38883.371 723.088 2557.249  100360.58
=== Event 37 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 128022 == Nb of channels = 2 ===
16 37 -1.015519 -0.016505  -46.518 2500.133 2504.452   26451.94
17 37 0.165623 1.089699 38865.531 723.882 2557.249  100360.58
=== Event 38 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 131277 == Nb of channels = 2 ===
16 38 -1.021085 0.030383  471.855 1473.542 1481.528   26451.94
17 38 0.165813 1.089654 38860.273 723.958 2557.249  100360.58
=== Event 39 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 134532 == Nb of channels = 2 ===
16 39 -1.024860 0.020412  419.081 985.604 1088.777   26451.94
17 39 0.165545 1.089746 38766.969 728.650 2557.249  100360.58
