=== DATA FILE SAVED WITH SOFTWARE VERSION: V2.9.8 ===
=== WAVECATCHER SYSTEM OF TYPE 3 WITH 72 CHANNELS AND GAIN: 1.0 ===
=== Rate coincidence masks (4 bits) for ch 0 to 63: 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 1 2 4 8 === Posttrig in ns for SamBlock 0 to 35: 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 1440 0 0 0 0 ===
=== Common: EventNumber UnixTime Date Time TDC ===
=== Individual per channel: ChannelNb EventID MeasuredBaseline[Volts] Amplitude[Volts] Charge[pC] LeadingEdgeTime[ns] TrailingEdgeTime[ns] RateCounter[Hz]=== 
=== Event 1 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 10213 == Nb of channels = 2 ===
16 1 -1.018708 0.030019  391.085 1752.250 1759.374    5229.67
17 1 0.058852 1.198007 42476.148 732.827 2557.248  100764.28
=== Event 2 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 13468 == Nb of channels = 2 ===
16 2 -1.004598 -0.021255 -397.728 1363.208 1373.851    5229.67
17 2 0.059037 1.194948 42787.555 719.365 2557.249  100764.28
=== Event 3 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 16723 == Nb of channels = 2 ===
16 3 -1.005129 -0.026489 -499.049 1335.317 1733.965    5229.67
17 3 0.058884 1.196698 43209.762 701.912 2557.249  100764.28
=== Event 4 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 19977 == Nb of channels = 2 ===
16 4 -1.027617 0.026394  520.660 2020.277 2026.661    5229.67
17 4 0.058695 1.193341 42692.066 723.940 2557.250  100764.28
=== Event 5 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 23232 == Nb of channels = 2 ===
16 5 -1.027732 0.028764  727.994 1905.802 2557.180    5229.67
17 5 0.059039 1.197486 43137.668 704.490 2557.249  100764.28
=== Event 6 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 26486 == Nb of channels = 2 ===
16 6 -1.016229 0.016488  310.242 1490.546 1494.877    5229.67
17 6 0.058429 1.198042 42623.828 727.400 2557.249  100764.28
=== Event 7 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 29741 == Nb of channels = 2 ===
16 7 -1.027472 0.026219  544.889 556.742 1088.964    5229.67
17 7 0.058693 1.192379 42872.594 716.292 2557.250  100764.28
=== Event 8 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 32996 == Nb of channels = 2 ===
16 8 -1.019391 0.018798  278.237 595.404 602.559    5229.67
17 8 0.058465 1.191569 43136.039 705.455 2557.250  100764.28
=== Event 9 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 36250 == Nb of channels = 2 ===
16 9 -1.013546 0.014537   62.313 356.017 366.458    5229.67
17 9 0.058848 1.196438 42496.789 731.804 2557.249  100764.28
=== Event 10 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 39505 == Nb of channels = 2 ===
16 10 -1.007488 -0.018501  -84.702 1776.007 1791.963    5229.67
17 10 0.058963 1.192496 42739.453 721.385 2557.250  100764.28
=== Event 11 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 42760 == Nb of channels = 2 ===
16 11 -1.010691 -0.023393 -299.034 1292.248 1296.793    5229.67
17 11 0.058582 1.201265 43086.785 707.533 2557.248  100764.28
=== Event 12 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 46015 == Nb of channels = 2 ===
16 12 -1.017287 0.016068  188.098 2505.218 2549.480    5229.67
17 12 0.058582 1.192555 43415.508 693.662 2557.250  100764.28
=== Event 13 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 49269 == Nb of channels = 2 ===
16 13 -1.021987 0.028375  578.669 1668.262 2089.447    5229.67
17 13 0.058467 1.196363 42689.648 724.468 2557.249  100764.28
=== Event 14 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 52524 == Nb of channels = 2 ===
16 14 -1.018493 -0.014243  -65.345 1553.184 1557.416    5229.67
17 14 0.058795 1.199306 42903.680 714.858 2557.248  100764.28
=== Event 15 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 55779 == Nb of channels = 2 ===
16 15 -1.092456 0.060920 1622.579 1434.371 2557.189    5229.67
17 15 0.059291 1.191363 43100.363 705.784 2557.250  100764.28
=== Event 16 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 59033 == Nb of channels = 2 ===
16 16 -1.010659 -0.016830  -84.174 1560.282 1564.829    5229.67
17 16 0.058694 1.194112 42629.914 726.461 2557.249  100764.28
=== Event 17 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 62288 == Nb of channels = 2 ===
16 17 -1.019085 0.027542  611.892 1826.626 1833.978    5229.67
17 17 0.058884 1.197915 42899.738 714.850 2557.249  100764.28
=== Event 18 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 65543 == Nb of channels = 2 ===
16 18 -1.019465 0.023729  391.464 1592.808 1600.294    5229.67
17 18 0.058731 1.191914 43294.812 698.412 2557.250  100764.28
=== Event 19 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 68797 == Nb of channels = 2 ===
16 19 -1.010421 -0.016574 -252.867 705.387 709.584    5229.67
17 19 0.058467 1.195291 42694.223 724.287 2557.249  100764.28
=== Event 20 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 72052 == Nb of channels = 2 ===
16 20 -1.003561 -0.026983 -351.470 1283.298 1577.390    5229.67
17 20 0.058696 1.191883 43135.512 705.191 2557.250  100764.28
=== Event 21 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 75307 == Nb of channels = 2 ===
16 21 -1.017704 0.021647  214.444 1474.120 1489.579    5229.67
17 21 0.058658 1.198673 43328.484 697.271 2557.248  100764.28
=== Event 22 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 78561 == Nb of channels = 2 ===
16 22 -1.017254 0.019545  332.962 889.359 924.360    5229.67
17 22 0.058962 1.196689 42584.648 727.893 2557.249  100764.28
=== Event 23 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 81816 == Nb of channels = 2 ===
16 23 -1.021293 0.020980   86.845 1230.951 1251.548    5229.67
17 23 0.058732 1.197409 42913.930 714.655 2557.249  100764.28
=== Event 24 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 85071 == Nb of channels = 2 ===
16 24 -1.018285 0.020365  232.024 1093.240 1097.807    5229.67
17 24 0.058655 1.195528 43223.848 701.642 2557.249  100764.28
=== Event 25 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 88325 == Nb of channels = 2 ===
16 25 -1.013779 0.016692   67.699 960.319 964.648    5229.67
17 25 0.059078 1.196212 42602.176 726.884 2557.249  100764.28
=== Event 26 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 91580 == Nb of channels = 2 ===
16 26 -1.024337 0.038429  674.455 2520.414 2528.516    5229.67
17 26 0.058695 1.196724 42985.352 711.610 2557.249  100764.28
=== Event 27 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 94835 == Nb of channels = 2 ===
16 27 -1.021860 0.023807  286.258 2219.651 2557.207    5229.67
17 27 0.058773 1.199565 43259.875 699.843 2557.248  100764.28
=== Event 28 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 98089 == Nb of channels = 2 ===
16 28 -1.017904 -0.022735  148.867 204.643 211.404    5229.67
17 28 0.058809 1.195112 42735.930 721.873 2557.249  100764.28
=== Event 29 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 101344 == Nb of channels = 2 ===
16 29 -1.025012 0.012002  159.058 1960.037 1963.729    5229.67
17 29 0.058987 1.198970 43124.383 705.080 2557.248  100764.28
=== Event 30 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 104598 == Nb of channels = 2 ===
16 30 -1.010201 -0.023418 -480.976 481.068 761.843    5229.67
17 30 0.058656 1.200309 42664.695 725.152 2557.248  100764.28
=== Event 31 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 107853 == Nb of channels = 2 ===
16 31 -1.023201 0.023623  564.275 1444.365 1456.645    5229.67
17 31 0.058501 1.195699 43113.371 706.449 2557.249  100764.28
=== Event 32 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 111107 == Nb of channels = 2 ===
16 32 -1.016296 0.015215   50.430 1917.827 1924.211    5229.67
17 32 0.058734 1.197116 42497.891 731.917 2557.249  100764.28
=== Event 33 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 114362 == Nb of channels = 2 ===
16 33 -1.010349 -0.018689 -186.717 1902.298 1906.150    5229.67
17 33 0.059000 1.198327 42883.398 715.166 2557.248  100764.28
=== Event 34 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 117617 == Nb of channels = 2 ===
16 34 -1.018621 0.018934  134.387 672.797 677.749    5229.67
17 34 0.058848 1.195019 43392.148 694.231 2557.249  100764.28
=== Event 35 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 120871 == Nb of channels = 2 ===
16 35 -1.018937 0.015615  203.756 2245.613 2258.214    5229.67
17 35 0.058696 1.200705 42963.531 712.582 2557.248  100764.28
=== Event 36 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 124125 == Nb of channels = 2 ===
16 36 -1.009012 0.022359 -249.243 2174.735 2180.740    5229.67
17 36 0.058734 1.199784 42549.820 729.832 2557.248  100764.28
=== Event 37 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 127380 == Nb of channels = 2 ===
16 37 -1.019572 0.019100  181.139 980.484 984.940    5229.67
17 37 0.058770 1.200145 42963.320 712.311 2557.248  100764.28
=== Event 38 UnixTime =        0.000 date = 0.0.0 time = 0h.0m.0s.0ms == TDC = 130635 == Nb of channels = 2 ===
16 38 -1.014580 0.020512  158.038 1169.001 1255.973    5229.67
17 38 0.059153 1.193329 43383.609 693.938 2557.249  100764.28
