LECROYWR6050,144,Waveform
Segments,1,SegmentSize,1002
Segment,TrigTime,TimeSinceSegment1
#1,17-Jan-2002 05:22:48,0                 
Time,Ampl
-9.66567e-009,-0.000498374
-9.46567e-009,-0.000498374
-9.26567e-009,0.00171136
-9.06567e-009,-0.000498374
-8.86567e-009,-0.000498374
-8.66567e-009,0.00392109
-8.46567e-009,0.00171136
-8.26567e-009,0.00171136
-8.06567e-009,-0.000498374
-7.86567e-009,-0.00491783
-7.66567e-009,0.00171136
-7.46567e-009,-0.000498374
-7.26567e-009,-0.000498374
-7.06567e-009,0.00171136
-6.86567e-009,-0.000498374
-6.66567e-009,-0.000498374
-6.46567e-009,-0.0027081
-6.26567e-009,-0.0027081
-6.06567e-009,-0.000498374
-5.86567e-009,0.00171136
-5.66567e-009,-0.000498374
-5.46567e-009,0.00392109
-5.26567e-009,0.00392109
-5.06567e-009,0.00392109
-4.86567e-009,0.00171136
-4.66567e-009,-0.0027081
-4.46567e-009,-0.000498374
-4.26567e-009,-0.000498374
-4.06567e-009,0.00171136
-3.86567e-009,-0.0027081
-3.66567e-009,-0.000498374
-3.46567e-009,-0.000498374
-3.26567e-009,-0.0027081
-3.06567e-009,0.00171136
-2.86567e-009,0.00171136
-2.66567e-009,0.00171136
-2.46567e-009,0.00392109
-2.26567e-009,0.00171136
-2.06567e-009,0.00171136
-1.86567e-009,0.00392109
-1.66567e-009,0.00171136
-1.46567e-009,-0.0027081
-1.26567e-009,-0.0027081
-1.06567e-009,-0.0027081
-8.65674e-010,0.00392109
-6.65674e-010,0.00171136
-4.65674e-010,-0.0027081
-2.65674e-010,0.00171136
-6.56739e-011,0.00171136
1.34326e-010,0.00171136
3.34326e-010,-0.00712756
5.34326e-010,-0.000498374
7.34326e-010,-0.0027081
9.34326e-010,0.00392109
1.13433e-009,0.00171136
1.33433e-009,0.00171136
1.53433e-009,0.00171136
1.73433e-009,-0.000498374
1.93433e-009,-0.0027081
2.13433e-009,-0.000498374
2.33433e-009,-0.000498374
2.53433e-009,0.00171136
2.73433e-009,-0.000498374
2.93433e-009,-0.000498374
3.13433e-009,-0.000498374
3.33433e-009,-0.000498374
3.53433e-009,-0.0027081
3.73433e-009,-0.0027081
3.93433e-009,-0.000498374
4.13433e-009,-0.000498374
4.33433e-009,-0.000498374
4.53433e-009,0.00392109
4.73433e-009,0.00171136
4.93433e-009,-0.000498374
5.13433e-009,0.00392109
5.33433e-009,0.00171136
5.53433e-009,0.00171136
5.73433e-009,0.00171136
5.93433e-009,0.00613082
6.13433e-009,0.00392109
6.33433e-009,0.00171136
6.53433e-009,-0.0027081
6.73433e-009,-0.00491783
6.93433e-009,-0.0027081
7.13433e-009,0.00171136
7.33433e-009,-0.000498374
7.53433e-009,0.00392109
7.73433e-009,0.00171136
7.93433e-009,0.00171136
8.13433e-009,0.00171136
8.33433e-009,-0.000498374
8.53433e-009,-0.000498374
8.73433e-009,-0.000498374
8.93433e-009,0.00392109
9.13433e-009,0.00171136
9.33433e-009,-0.000498374
9.53433e-009,-0.000498374
9.73433e-009,0.00171136
9.93433e-009,0.00171136
1.01343e-008,0.00171136
1.03343e-008,-0.000498374
1.05343e-008,-0.000498374
1.07343e-008,0.00171136
1.09343e-008,-0.000498374
1.11343e-008,0.00392109
1.13343e-008,0.00171136
1.15343e-008,-0.000498374
1.17343e-008,0.00171136
1.19343e-008,-0.000498374
1.21343e-008,-0.000498374
1.23343e-008,0.00171136
1.25343e-008,-0.000498374
1.27343e-008,-0.000498374
1.29343e-008,-0.0027081
1.31343e-008,-0.000498374
1.33343e-008,-0.0027081
1.35343e-008,0.00171136
1.37343e-008,0.00171136
1.39343e-008,0.00613082
1.41343e-008,0.00171136
1.43343e-008,0.00171136
1.45343e-008,-0.000498374
1.47343e-008,0.00171136
1.49343e-008,0.00171136
1.51343e-008,0.00171136
1.53343e-008,0.00392109
1.55343e-008,-0.0027081
1.57343e-008,0.00171136
1.59343e-008,0.00613082
1.61343e-008,-0.0027081
1.63343e-008,-0.0027081
1.65343e-008,0.00171136
1.67343e-008,0.00392109
1.69343e-008,-0.000498374
1.71343e-008,-0.000498374
1.73343e-008,-0.0027081
1.75343e-008,-0.000498374
1.77343e-008,-0.000498374
1.79343e-008,-0.000498374
1.81343e-008,-0.000498374
1.83343e-008,-0.000498374
1.85343e-008,-0.000498374
1.87343e-008,-0.0027081
1.89343e-008,-0.000498374
1.91343e-008,-0.0027081
1.93343e-008,-0.00491783
1.95343e-008,-0.000498374
1.97343e-008,0.00171136
1.99343e-008,-0.000498374
2.01343e-008,0.00171136
2.03343e-008,0.00171136
2.05343e-008,-0.00491783
2.07343e-008,-0.0027081
2.09343e-008,0.00171136
2.11343e-008,0.00392109
2.13343e-008,0.00392109
