Data: giovedì 7 maggio 2020	Ora: 13:46
Analizzatore  1: TOF TOF LR	Analizzatore  2: R66 ROUTE66_HR_XPS	
pass energy/rall 1: 0.00	pass energy/rall 2: 40.00	
******************************************************
Scansione:    angolo polare
Min (eV): 256.00	Max (eV): 343.00	Step (eV): 0.25	
kinetic energy 1 (eV): 0.00	kinetic energy 2 (eV): 1198.70
polar angle (deg): 343.00	X axis (mm): 580.50
*******************  R66 parameters ********************
Step in ch_x_eV: 10	Ch x eV @ Ep=1eV: 5236
binned channels: 11	same region acquisitions: 41
******************************************************
Acq. time (s):  3.00	Number of scans:  1	Total acq. time (s):  3.00
******************************************************
256.000000	285.000000
256.250000	303.000000
256.500000	329.000000
256.750000	324.000000
257.000000	340.000000
257.250000	344.000000
257.500000	328.000000
257.750000	335.000000
258.000000	342.000000
258.250000	343.000000
258.500000	347.000000
258.750000	355.000000
259.000000	357.000000
259.250000	345.000000
259.500000	379.000000
259.750000	393.000000
260.000000	394.000000
260.250000	390.000000
260.500000	382.000000
260.750000	407.000000
261.000000	358.000000
261.250000	414.000000
261.500000	410.000000
261.750000	431.000000
262.000000	436.000000
262.250000	433.000000
262.500000	431.000000
262.750000	456.000000
263.000000	447.000000
263.250000	427.000000
263.500000	447.000000
263.750000	450.000000
264.000000	455.000000
264.250000	464.000000
264.500000	478.000000
264.750000	479.000000
265.000000	483.000000
265.250000	493.000000
265.500000	489.000000
265.750000	480.000000
266.000000	526.000000
266.250000	519.000000
266.500000	526.000000
266.750000	532.000000
267.000000	521.000000
267.250000	514.000000
267.500000	541.000000
267.750000	549.000000
268.000000	544.000000
268.250000	532.000000
268.500000	573.000000
268.750000	564.000000
269.000000	546.000000
269.250000	567.000000
269.500000	556.000000
269.750000	574.000000
270.000000	583.000000
270.250000	548.000000
270.500000	583.000000
270.750000	579.000000
271.000000	584.000000
271.250000	597.000000
271.500000	599.000000
271.750000	582.000000
272.000000	599.000000
272.250000	642.000000
272.500000	596.000000
272.750000	601.000000
273.000000	599.000000
273.250000	611.000000
273.500000	569.000000
273.750000	589.000000
274.000000	621.000000
274.250000	611.000000
274.500000	600.000000
274.750000	612.000000
275.000000	590.000000
275.250000	630.000000
275.500000	631.000000
275.750000	619.000000
276.000000	657.000000
276.250000	643.000000
276.500000	606.000000
276.750000	632.000000
277.000000	605.000000
277.250000	607.000000
277.500000	627.000000
277.750000	617.000000
278.000000	614.000000
278.250000	624.000000
278.500000	624.000000
278.750000	619.000000
279.000000	632.000000
279.250000	623.000000
279.500000	626.000000
279.750000	661.000000
280.000000	635.000000
280.250000	633.000000
280.500000	638.000000
280.750000	636.000000
281.000000	619.000000
281.250000	642.000000
281.500000	636.000000
281.750000	644.000000
282.000000	654.000000
282.250000	615.000000
282.500000	607.000000
282.750000	632.000000
283.000000	636.000000
283.250000	606.000000
283.500000	626.000000
283.750000	632.000000
284.000000	591.000000
284.250000	651.000000
284.500000	638.000000
284.750000	613.000000
285.000000	642.000000
285.250000	637.000000
285.500000	629.000000
285.750000	613.000000
286.000000	609.000000
286.250000	624.000000
286.500000	613.000000
286.750000	623.000000
287.000000	623.000000
287.250000	614.000000
287.500000	630.000000
287.750000	612.000000
288.000000	614.000000
288.250000	616.000000
288.500000	601.000000
288.750000	616.000000
289.000000	600.000000
289.250000	628.000000
289.500000	626.000000
289.750000	601.000000
290.000000	587.000000
290.250000	595.000000
290.500000	630.000000
290.750000	591.000000
291.000000	597.000000
291.250000	620.000000
291.500000	614.000000
291.750000	593.000000
292.000000	598.000000
292.250000	596.000000
292.500000	599.000000
292.750000	592.000000
293.000000	605.000000
293.250000	602.000000
293.500000	588.000000
293.750000	595.000000
294.000000	578.000000
294.250000	592.000000
294.500000	573.000000
294.750000	560.000000
295.000000	564.000000
295.250000	561.000000
295.500000	576.000000
295.750000	562.000000
296.000000	587.000000
296.250000	577.000000
296.500000	586.000000
296.750000	578.000000
297.000000	608.000000
297.250000	558.000000
297.500000	563.000000
297.750000	576.000000
298.000000	548.000000
298.250000	562.000000
298.500000	550.000000
298.750000	574.000000
299.000000	583.000000
299.250000	524.000000
299.500000	559.000000
299.750000	543.000000
300.000000	549.000000
300.250000	554.000000
300.500000	532.000000
300.750000	554.000000
301.000000	594.000000
301.250000	556.000000
301.500000	544.000000
301.750000	539.000000
302.000000	531.000000
302.250000	577.000000
302.500000	522.000000
