Data: mercoledì 13 maggio 2020	Ora: 12:33
Analizzatore  1: TOF TOF LR	Analizzatore  2: R66 ROUTE66_HR_XPS	
pass energy/rall 1: 0.00	pass energy/rall 2: 40.00	
******************************************************
Scansione:    energia analizzata
Min (eV): 1376.00	Max (eV): 1384.00	Step (eV): 0.10	
kinetic energy 1 (eV): 0.00	kinetic energy 2 (eV): 1384.02
polar angle (deg): 287.00	X axis (mm): 581.70
*******************  R66 parameters ********************
Step in ch_x_eV: 10	Ch x eV @ Ep=1eV: 5236
binned channels: 14	same region acquisitions: 41
******************************************************
Acq. time (s):  0.50	Number of scans:  5	Total acq. time (s):  2.50
******************************************************
1374.521772	0.000000
1374.628724	0.014286
1374.735676	0.005714
1374.842628	0.005714
1374.949580	0.004762
1375.056532	0.010317
1375.163484	0.009206
1375.270435	0.005195
1375.377387	0.013919
1375.484339	0.004082
1375.591291	0.009167
1375.698243	0.018803
1375.805195	0.009617
1375.912147	0.002932
1376.019099	0.002721
1376.126050	0.012818
1376.233002	0.010818
1376.339954	0.011480
1376.446906	0.009605
1376.553858	0.008201
1376.660810	0.008801
1376.767762	0.012166
1376.874714	0.016997
1376.981665	0.010211
1377.088617	0.009076
1377.195569	0.007937
1377.302521	0.012172
1377.409473	0.010278
1377.516425	0.007125
1377.623377	0.014983
1377.730328	0.013519
1377.837280	0.012805
1377.944232	0.005697
1378.051184	0.010697
1378.158136	0.007840
1378.265088	0.010714
1378.372040	0.008571
1378.478992	0.011359
1378.585943	0.011394
1378.692895	0.013519
1378.799847	0.009930
1378.906799	0.013554
1379.013751	0.012787
1379.120703	0.015662
1379.227655	0.011394
1379.334607	0.010697
1379.441558	0.014251
1379.548510	0.014948
1379.655462	0.010714
1379.762414	0.013554
1379.869366	0.014913
1379.976318	0.026341
1380.083270	0.016359
1380.190222	0.018554
1380.297173	0.015000
1380.404125	0.012805
1380.511077	0.011394
1380.618029	0.010679
1380.724981	0.017840
1380.831933	0.012125
1380.938885	0.013484
1381.045837	0.013571
1381.152788	0.013519
1381.259740	0.012822
1381.366692	0.014251
1381.473644	0.009251
1381.580596	0.009983
1381.687548	0.013537
1381.794500	0.009251
1381.901451	0.012840
1382.008403	0.009268
1382.115355	0.009948
1382.222307	0.007840
1382.329259	0.005714
1382.436211	0.007125
1382.543163	0.009269
1382.650115	0.008194
1382.757066	0.012294
1382.864018	0.005646
1382.970970	0.010804
1383.077922	0.008712
1383.184874	0.011838
1383.291826	0.007558
1383.398778	0.007987
1383.505730	0.010431
1383.612681	0.009941
1383.719633	0.012810
1383.826585	0.005025
1383.933537	0.010575
1384.040489	0.011224
1384.147441	0.009023
1384.254393	0.014379
1384.361345	0.007038
1384.468296	0.013741
1384.575248	0.006279
1384.682200	0.007359
1384.789152	0.005455
1384.896104	0.009921
1385.003056	0.014286
1385.110008	0.004762
1385.216960	0.005714
1385.323911	0.023810
1385.430863	0.014286
1385.518717	0.044444
