 - Plot 0	 - Plot 0
0	6.06E-14
1	2.96E-13
2	-9.08E-14
3	-2.78E-13
4	-1.72E-14
5	1.39E-13
6	-2.37E-13
7	1.04E-14
8	1.17E-13
9	-1.86E-13
10	-2.20E-13
11	-4.95E-14
12	-2.26E-14
13	-1.42E-13
14	-2.04E-13
15	-1.53E-13
16	-9.19E-14
17	-1.70E-13
18	-3.23E-14
19	-2.73E-13
20	-3.20E-13
21	-4.98E-13
22	-4.35E-13
23	-6.97E-13
24	-6.37E-13
25	-7.64E-13
26	-7.76E-13
27	-9.53E-13
28	-1.35E-12
29	-1.70E-12
30	-1.96E-12
31	-2.32E-12
32	-2.56E-12
33	-2.63E-12
34	-2.59E-12
35	-2.09E-12
36	-1.93E-12
37	-1.31E-12
38	-9.31E-13
39	-4.97E-13
40	-4.31E-13
41	-2.91E-13
42	-1.35E-13
43	-4.90E-14
44	-3.95E-13
45	-6.58E-14
46	6.91E-14
47	-2.21E-13
48	5.94E-14
49	1.55E-13
50	-9.81E-14
51	-3.52E-13
52	2.25E-13
53	-2.01E-13
54	-9.29E-14
55	1.28E-13
56	5.85E-14
57	7.15E-14
58	3.81E-14
59	-4.22E-15
60	-1.49E-14
61	-4.61E-14
62	-1.52E-13
63	-1.18E-13
64	-1.21E-13
65	-6.37E-14
66	-5.12E-14
67	-6.63E-14
68	-1.20E-13
69	-8.33E-14
70	-2.04E-13
71	-2.72E-13
72	-3.13E-13
73	-1.76E-13
74	-2.92E-13
75	2.72E-13
76	-3.76E-13
77	-3.13E-13
78	-4.50E-13
79	-5.76E-13
80	-3.66E-13
81	-6.27E-13
82	-1.01E-12
83	-1.21E-12
84	-1.21E-12
85	-1.20E-12
86	-1.40E-12
87	-1.81E-12
88	-2.34E-12
89	-2.61E-12
90	-3.88E-12
91	-4.68E-12
92	-5.20E-12
93	-6.46E-12
94	-6.89E-12
95	-7.14E-12
96	-6.08E-12
97	-5.05E-12
98	-4.07E-12
99	-2.31E-12
100	-1.81E-12
101	-1.40E-12
102	-6.96E-13
103	-4.91E-13
104	-4.22E-13
105	-4.00E-13
106	-3.17E-13
107	-1.78E-13
108	-3.24E-13
109	-1.30E-13
110	1.68E-15
111	-1.01E-13
112	-2.01E-13
113	-3.68E-14
114	4.03E-14
115	-1.01E-13
116	-9.37E-14
117	-1.12E-13
118	-1.68E-13
119	2.26E-14
120	-1.64E-13
121	-3.03E-13
122	-2.28E-13
123	-1.39E-13
124	-3.02E-13
125	4.30E-14
126	-2.19E-13
127	-3.08E-13
128	-4.35E-13
129	-4.91E-13
130	-4.62E-13
131	-4.99E-13
132	-5.27E-13
133	-5.31E-13
134	-6.21E-13
135	-6.79E-13
136	-8.67E-13
137	-8.38E-13
138	-1.17E-12
139	-1.25E-12
140	-1.51E-12
141	-1.60E-12
142	-1.93E-12
143	-2.29E-12
144	-2.52E-12
145	-2.71E-12
146	-3.71E-12
147	-4.42E-12
148	-5.08E-12
149	-6.83E-12
150	-7.91E-12
151	-9.10E-12
152	-1.19E-11
153	-1.27E-11
154	-1.33E-11
155	-1.27E-11
156	-1.11E-11
157	-9.42E-12
158	-5.99E-12
159	-4.87E-12
160	-3.66E-12
161	-2.34E-12
162	-1.96E-12
163	-1.32E-12
164	-9.61E-13
165	-8.27E-13
166	-5.53E-13
167	-5.84E-13
168	-5.81E-13
169	-4.78E-13
170	-3.46E-13
171	-4.04E-13
172	-3.25E-13
173	-1.51E-13
174	-2.19E-13
175	-2.85E-13
176	-1.89E-13
177	-1.64E-13
178	-1.96E-13
179	-2.32E-13
180	-4.78E-13
181	-4.03E-13
182	-4.76E-13
183	-4.51E-13
184	-4.87E-13
185	-5.65E-13
186	-7.69E-13
187	-7.74E-13
188	-8.49E-13
189	-8.21E-13
190	-9.36E-13
191	-1.01E-12
192	-1.11E-12
193	-1.30E-12
194	-1.38E-12
195	-1.72E-12
196	-2.17E-12
197	-3.01E-12
198	-4.19E-12
199	-5.02E-12
200	-5.81E-12
201	-7.53E-12
202	-8.26E-12
203	-8.93E-12
204	-9.49E-12
205	-1.01E-11
206	-1.06E-11
207	-1.14E-11
208	-1.21E-11
209	-1.42E-11
210	-1.59E-11
211	-1.72E-11
212	-1.93E-11
213	-2.04E-11
214	-2.11E-11
215	-2.03E-11
216	-1.85E-11
217	-1.67E-11
218	-1.32E-11
219	-1.12E-11
220	-9.08E-12
221	-5.86E-12
222	-4.80E-12
223	-3.65E-12
224	-2.21E-12
225	-1.86E-12
226	-1.42E-12
227	-1.01E-12
228	-8.81E-13
229	-9.75E-13
230	-8.10E-13
231	-6.54E-13
232	-7.36E-13
233	-5.97E-13
234	-4.20E-13
235	-7.20E-13
236	-4.90E-13
237	-3.05E-13
238	-6.37E-13
239	-5.34E-13
240	-2.08E-13
241	-5.12E-13
242	-5.22E-13
243	-1.90E-13
244	-6.11E-13
245	-1.07E-12
246	-1.12E-12
247	-1.28E-12
248	-1.26E-12
249	-1.13E-12
250	-1.13E-12
251	-1.06E-12
252	-1.25E-12
253	-1.20E-12
254	-1.21E-12
255	-1.41E-12
256	-1.55E-12
257	-1.62E-12
258	-1.87E-12
259	-1.97E-12
260	-2.17E-12
261	-2.34E-12
262	-2.36E-12
263	-2.47E-12
264	-2.67E-12
265	-3.17E-12
266	-3.92E-12
267	-5.09E-12
268	-6.29E-12
269	-8.69E-12
270	-1.25E-11
271	-1.56E-11
272	-2.10E-11
273	-2.67E-11
274	-2.99E-11
275	-3.45E-11
276	-3.69E-11
277	-3.81E-11
278	-3.84E-11
279	-4.05E-11
280	-4.11E-11
281	-4.12E-11
282	-4.12E-11
283	-4.05E-11
284	-3.76E-11
285	-3.48E-11
286	-3.20E-11
287	-2.51E-11
288	-2.16E-11
289	-1.81E-11
290	-1.17E-11
291	-9.24E-12
292	-6.91E-12
293	-4.03E-12
294	-3.32E-12
295	-2.54E-12
296	-2.01E-12
297	-1.98E-12
298	-1.85E-12
299	-1.67E-12
300	-1.59E-12
301	-1.52E-12
302	-1.39E-12
303	-1.30E-12
304	-1.13E-12
305	-1.11E-12
306	-1.10E-12
307	-9.97E-13
308	-9.09E-13
309	-7.69E-13
310	-8.29E-13
311	-1.41E-12
312	-1.27E-12
313	-1.26E-12
314	-1.07E-12
315	-1.41E-12
316	-1.62E-12
317	-1.62E-12
318	-1.67E-12
319	-1.55E-12
320	-1.68E-12
321	-1.82E-12
322	-2.00E-12
323	-2.16E-12
324	-2.24E-12
325	-2.40E-12
326	-2.51E-12
327	-2.82E-12
328	-3.57E-12
329	-5.28E-12
330	-6.85E-12
331	-1.01E-11
332	-1.45E-11
333	-1.76E-11
334	-2.34E-11
335	-2.86E-11
336	-3.18E-11
337	-3.80E-11
338	-4.09E-11
339	-4.24E-11
340	-4.34E-11
341	-4.16E-11
342	-4.11E-11
343	-3.67E-11
344	-3.26E-11
345	-2.93E-11
346	-2.12E-11
347	-1.77E-11
348	-1.44E-11
349	-8.86E-12
350	-6.99E-12
351	-5.07E-12
352	-3.09E-12
353	-2.68E-12
354	-2.28E-12
355	-1.84E-12
356	-1.76E-12
357	-1.62E-12
358	-1.55E-12
359	-1.44E-12
360	-1.36E-12
361	-1.18E-12
362	-1.15E-12
363	-1.06E-12
364	-1.01E-12
365	-8.67E-13
366	-8.69E-13
367	-7.59E-13
368	-7.71E-13
369	-5.47E-13
370	-3.46E-13
371	-3.15E-13
372	-4.23E-13
373	-4.36E-13
374	-1.79E-13
375	-4.18E-13
376	-6.15E-13
377	-1.66E-13
378	-3.46E-13
379	-6.04E-13
380	-4.17E-13
381	-4.32E-13
382	-6.05E-13
383	-4.88E-13
384	-5.08E-13
385	-6.56E-13
386	-7.88E-13
387	-7.88E-13
388	-9.29E-13
389	-9.76E-13
390	-1.36E-12
391	-1.79E-12
392	-2.40E-12
393	-4.04E-12
394	-4.97E-12
395	-6.04E-12
396	-8.07E-12
397	-8.47E-12
398	-9.26E-12
399	-8.51E-12
400	-8.05E-12
401	-7.63E-12
402	-6.47E-12
403	-6.09E-12
404	-5.10E-12
405	-3.88E-12
406	-3.34E-12
407	-2.45E-12
408	-1.82E-12
409	-1.38E-12
410	-1.03E-12
411	-7.93E-13
412	-7.76E-13
413	-7.56E-13
414	-6.66E-13
415	-3.41E-13
416	-2.45E-13
417	-3.75E-13
418	-2.97E-13
419	-1.65E-13
420	-1.80E-13
421	-3.25E-13
422	-2.71E-13
423	-1.88E-13
424	-3.24E-13
425	-2.63E-13
426	-8.16E-14
427	-1.60E-13
428	-1.52E-13
429	-4.92E-14
430	-3.81E-15
431	7.02E-14
432	6.45E-14
433	-3.09E-14
434	-3.03E-14
435	9.16E-14
436	1.87E-14
437	-6.42E-14
438	-6.51E-14
439	3.36E-14
440	-6.93E-15
441	3.99E-14
442	-1.15E-13
443	-3.18E-14
444	6.92E-14
445	-6.59E-14
446	-1.15E-13
447	2.39E-15
448	-6.46E-14
449	-1.34E-13
450	-1.23E-13
451	-1.59E-13
452	-1.82E-13
453	-1.01E-13
454	-1.04E-13
455	-1.19E-13
456	-2.72E-13
457	-4.11E-13
458	-2.80E-13
459	-3.07E-13
460	-4.40E-13
461	-2.79E-13
462	-4.44E-13
463	-7.77E-13
464	-7.03E-13
465	-7.31E-13
466	-7.65E-13
467	-7.47E-13
468	-5.47E-13
469	-7.19E-13
470	-7.32E-13
471	-3.13E-13
472	-4.29E-13
473	-4.21E-13
474	-2.51E-13
475	-1.32E-13
476	-2.60E-13
477	-5.78E-14
478	2.90E-14
479	-5.79E-14
480	-1.86E-13
481	-8.36E-16
482	-7.68E-14
483	-3.22E-14
484	3.06E-15
485	2.46E-14
486	1.07E-13
487	4.60E-14
488	-7.79E-14
489	-6.63E-14
490	3.07E-14
491	6.31E-14
492	1.30E-13
493	9.50E-14
494	1.39E-13
495	3.26E-14
496	1.47E-13
497	-6.07E-14
498	5.27E-15
499	1.64E-13
500	3.51E-15
501	-8.90E-14
502	3.41E-14
503	1.31E-13
504	7.97E-15
505	6.69E-14
506	1.59E-14
507	7.52E-14
508	4.24E-14
509	-7.90E-14
510	1.58E-15
511	1.81E-13
512	-3.75E-14
513	-7.41E-14
514	1.29E-13
515	3.01E-14
516	-1.51E-13
517	1.67E-13
518	1.38E-13
519	-1.04E-13
520	-1.86E-13
521	4.51E-14
522	9.46E-15
523	-2.16E-13
524	1.08E-13
525	-1.21E-14
526	-1.31E-13
527	-5.75E-14
528	1.47E-13
529	-4.28E-14
530	-1.36E-13
531	3.55E-14
532	1.28E-15
533	-3.23E-13
534	-1.94E-14
535	9.39E-14
536	-2.27E-13
537	1.52E-15
538	2.12E-13
539	-3.04E-13
540	6.64E-14
541	3.14E-13
542	-1.41E-13
543	-1.18E-13
544	2.23E-13
545	-3.56E-14
546	-1.07E-13
547	1.68E-13
548	2.18E-13
549	-2.00E-13
550	9.96E-14
551	3.12E-13
552	-2.09E-13
553	-1.62E-13
554	2.15E-13
555	1.27E-13
556	-1.49E-13
557	6.22E-14
558	7.67E-15
559	6.70E-15
560	6.44E-14
561	-2.68E-14
562	2.01E-13
563	8.85E-14
564	-7.05E-14
565	1.92E-13
566	1.72E-13
567	-9.64E-14
568	-4.05E-14
569	7.49E-14
570	-1.73E-14
571	3.00E-14
572	7.85E-14
573	6.13E-14
574	-5.56E-14
575	2.21E-14
576	-2.32E-14
577	7.19E-14
578	1.59E-13
579	-9.21E-14
580	-4.36E-14
581	1.98E-14
582	8.49E-14
583	-8.75E-14
584	-2.20E-13
585	2.27E-13
586	1.26E-13
587	-2.82E-13
588	-2.74E-14
589	1.06E-13
590	-5.54E-14
591	1.71E-14
592	-3.10E-14
593	5.36E-14
594	-7.78E-14
595	-1.12E-13
596	8.94E-14
597	1.32E-13
598	7.14E-14
599	-1.53E-13
600	9.71E-14
601	8.29E-14
602	-8.66E-15
603	-8.75E-14
604	1.88E-13
605	-1.08E-13
606	-1.52E-13
607	4.00E-14
608	1.85E-13
609	-7.32E-14
610	2.54E-14
611	2.03E-13
612	-6.94E-14
613	4.68E-14
614	2.24E-13
615	2.17E-13
616	1.56E-14
617	-2.10E-14
618	1.13E-13
619	-3.08E-14
620	2.25E-13
