Data: giovedì 4 giugno 2020	Ora: 13:49
Analizzatore  1: TOF TOF LR	Analizzatore  2: R66 R66_LR_Acc_e2e	
pass energy/rall 1: 0.00	pass energy/rall 2: 25.00	
******************************************************
Scansione:    energia analizzata
Min (eV): 1.00	Max (eV): 19.00	Step (eV): 0.05	
kinetic energy 1 (eV): 0.00	kinetic energy 2 (eV): 19.05
polar angle (deg): 270.00	X axis (mm): 577.00
*******************  R66 parameters ********************
Step in ch_x_eV: 20	Ch x eV @ Ep=1eV: 5236
binned channels: 11	same region acquisitions: 21
******************************************************
Acq. time (s):  0.50	Number of scans:  2	Total acq. time (s):  1.00
******************************************************
0.068946	0.000000
0.121467	0.090909
0.173988	0.000000
0.226509	0.000000
0.279030	0.000000
0.331551	0.022727
0.384072	0.000000
0.436593	0.018182
0.489114	0.036364
0.541635	0.018182
0.594156	0.043290
0.646677	0.038961
0.699198	0.071429
0.751719	0.056818
0.804240	0.106061
0.856761	0.070707
0.909282	0.111111
0.961803	0.072727
1.014324	0.244628
1.066845	0.115702
1.119366	0.204545
1.171887	0.179487
1.224408	0.279720
1.276929	0.328671
1.329450	0.279221
1.381971	0.462338
1.434492	0.400000
1.487013	0.541667
1.539534	0.522727
1.592055	0.627340
1.644576	0.526441
1.697097	0.590909
1.749618	0.578682
1.802139	0.574163
1.854660	0.622010
1.907181	0.550000
1.959702	0.650216
2.012223	0.627273
2.064744	0.638745
2.117265	0.631818
2.169786	0.696537
2.222307	0.733117
2.274828	0.827273
2.327349	0.705195
2.379870	0.763636
2.432391	0.954762
2.484912	0.931818
2.537433	0.940043
2.589954	0.972727
2.642475	1.174675
2.694996	1.135498
2.747517	1.231818
2.800038	1.108442
2.852559	1.140909
2.905080	1.262554
2.957601	1.277273
3.010122	1.429870
3.062643	1.427273
3.115164	1.596537
3.167685	1.495455
3.220206	1.616883
3.272727	1.677706
3.325248	1.709091
3.377769	1.600866
3.430290	2.027273
3.482811	1.778788
3.535332	1.927273
3.587853	2.113636
3.640374	2.018182
3.692895	2.046970
3.745416	2.070996
3.797937	2.254545
3.850458	2.311688
3.902979	2.240909
3.955500	2.367965
4.008021	2.427273
4.060542	2.305411
4.113063	2.195455
4.165584	2.452381
4.218105	2.245455
4.270626	2.240043
4.323147	2.057576
4.375668	2.181818
4.428189	2.045455
4.480710	2.063636
4.533231	2.197619
4.585752	2.072727
4.638273	1.932035
4.690794	1.768182
4.743316	2.140693
4.795837	1.806277
4.848358	1.940909
4.900879	1.821645
4.953400	1.790909
5.005921	1.692857
5.058442	1.631818
5.110963	1.711472
5.163484	1.709091
5.216005	1.740909
5.268526	1.650000
5.321047	1.707792
5.373568	1.428788
5.426089	1.622727
5.478610	1.458225
5.531131	1.554545
5.583652	1.384199
5.636173	1.581818
5.688694	1.376190
5.741215	1.304545
5.793736	1.284632
5.846257	1.184632
5.898778	1.368182
5.951299	1.303463
6.003820	1.331818
6.056341	1.166667
6.108862	1.250000
6.161383	1.177273
6.213904	1.186364
6.266425	1.095022
6.318946	1.118182
6.371467	1.113420
6.423988	0.963853
6.476509	1.163636
6.529030	0.969481
6.581551	1.090909
6.634072	0.953247
6.686593	1.063636
6.739114	0.919697
6.791635	0.977273
6.844156	1.031169
6.896677	0.866450
6.949198	0.900000
7.001719	0.893939
7.054240	0.940909
7.106761	0.932684
7.159282	0.818182
7.211803	0.799784
7.264324	0.804545
7.316845	0.809524
7.369366	0.750000
7.421887	0.804762
7.474408	0.751515
7.526929	0.772727
7.579450	0.719913
7.631971	0.781818
7.684492	0.746970
7.737013	0.840909
7.789534	0.610173
7.842055	0.677273
7.894576	0.714286
7.947097	0.597619
7.999618	0.722727
8.052139	0.787446
8.104660	0.668182
8.157181	0.655411
8.209702	0.690909
8.262223	0.678788
8.314744	0.618182
8.367265	0.585065
8.419786	0.645455
8.472307	0.538528
8.524828	0.461039
8.577349	0.622727
8.629870	0.583333
8.682391	0.545455
8.734912	0.524675
8.787433	0.545455
8.839954	0.550866
8.892475	0.522727
8.944996	0.615584
8.997517	0.416017
9.050038	0.454545
9.102559	0.511039
9.155080	0.390909
9.207601	0.459524
9.260122	0.490909
9.312643	0.461905
9.365164	0.463636
9.417685	0.547403
9.470206	0.390909
9.522727	0.393939
9.575248	0.374892
9.627769	0.490909
9.680290	0.403463
9.732811	0.500000
9.785332	0.348918
9.837853	0.513636
9.890374	0.325325
9.942895	0.427273
9.995416	0.344372
10.047937	0.420130
10.100458	0.381818
10.152979	0.344156
10.205500	0.313636
10.258021	0.346970
10.310542	0.313636
10.363063	0.289610
10.415584	0.350000
10.468105	0.284632
10.520626	0.290909
10.573147	0.338528
10.625668	0.212987
10.678189	0.331818
10.730710	0.249134
10.783231	0.331818
10.835752	0.330087
10.888273	0.359091
10.940794	0.248485
10.993316	0.200000
11.045837	0.307792
11.098358	0.271429
11.150879	0.309091
11.203400	0.267532
11.255921	0.263636
11.308442	0.235498
11.360963	0.318182
11.413484	0.270996
11.466005	0.245455
11.518526	0.225974
11.571047	0.209091
11.623568	0.262554
11.676089	0.253896
11.728610	0.268182
11.781131	0.217316
11.833652	0.236364
11.886173	0.285498
11.938694	0.272727
11.991215	0.203896
12.043736	0.272727
12.096257	0.244589
12.148778	0.212987
12.201299	0.263636
12.253820	0.266234
12.306341	0.227273
12.358862	0.222078
12.411383	0.213636
12.463904	0.180952
12.516425	0.236364
12.568946	0.177056
12.621467	0.272727
12.673988	0.221645
12.726509	0.203680
12.779030	0.200000
12.831551	0.180519
12.884072	0.218182
12.936593	0.185498
12.989114	0.150000
13.041635	0.185714
13.094156	0.168182
13.146677	0.172078
13.199198	0.167749
13.251719	0.250000
13.304240	0.185281
13.356761	0.231818
13.409282	0.185498
13.461803	0.168182
13.514324	0.135714
13.566845	0.218182
13.619366	0.203463
13.671887	0.145455
13.724408	0.140693
13.776929	0.158442
13.829450	0.204545
13.881971	0.194589
13.934492	0.172727
13.987013	0.229870
14.039534	0.222727
14.092055	0.176407
14.144576	0.190909
14.197097	0.199567
14.249618	0.153463
14.302139	0.195455
14.354660	0.135931
14.407181	0.150000
14.459702	0.140260
14.512223	0.222727
14.564744	0.158874
14.617265	0.204545
14.669786	0.186147
14.722307	0.181818
14.774828	0.144805
14.827349	0.122294
14.879870	0.145455
14.932391	0.189394
14.984912	0.131818
15.037433	0.199134
15.089954	0.200000
15.142475	0.208225
15.194996	0.136364
15.247517	0.162771
15.300038	0.149351
15.352559	0.154545
15.405080	0.172727
15.457601	0.163636
15.510122	0.103463
15.562643	0.163636
15.615164	0.140476
15.667685	0.159091
15.720206	0.195022
15.772727	0.195455
15.825248	0.127273
15.877769	0.117532
15.930290	0.109091
15.982811	0.171861
16.035332	0.159091
16.087853	0.126840
16.140374	0.140909
16.192895	0.131385
16.245416	0.154545
16.297937	0.163420
16.350458	0.153030
16.402979	0.154545
16.455500	0.145238
16.508021	0.136364
16.560542	0.167532
16.613063	0.136364
16.665584	0.181385
16.718105	0.154545
16.770626	0.121861
16.823147	0.131818
16.875668	0.202381
16.928189	0.130952
16.980710	0.154545
17.033231	0.158009
17.085752	0.168182
17.138273	0.122727
17.190794	0.145455
17.243316	0.158874
17.295837	0.154545
17.348358	0.148485
17.400879	0.135714
17.453400	0.154545
17.505921	0.126840
17.558442	0.140909
17.610963	0.121861
17.663484	0.136364
17.716005	0.099567
17.768526	0.181818
17.821047	0.113420
17.873568	0.181818
17.926089	0.127056
17.978610	0.131818
18.031131	0.181818
18.083652	0.180736
18.136173	0.154545
18.188694	0.134689
18.241215	0.162679
18.293736	0.132908
18.346257	0.186869
18.398778	0.180333
18.451299	0.128342
18.503820	0.142045
18.556341	0.161742
18.608862	0.206061
18.661383	0.149784
18.713904	0.155844
18.766425	0.181818
18.818946	0.076923
18.871467	0.131119
18.923988	0.106061
18.976509	0.139807
19.029030	0.124793
19.081551	0.163636
19.134072	0.159596
19.186593	0.191919
19.239114	0.193182
19.291635	0.159091
19.344156	0.248377
19.396677	0.038961
19.449198	0.177489
19.501719	0.121212
19.554240	0.218182
19.606761	0.168182
19.659282	0.159091
19.711803	0.219697
19.764324	0.151515
19.816845	0.196970
19.869366	0.136364
19.921887	0.090909
19.974408	0.000000
