Data: martedì 9 giugno 2020	Ora: 10:31
Analizzatore  1: TOF TOF LR	Analizzatore  2: R66 R66_LR_Acc_e2e	
pass energy/rall 1: 0.00	pass energy/rall 2: 45.00	
******************************************************
Scansione:    angolo polare
Min (eV): 200.00	Max (eV): 310.00	Step (eV): 1.00	
kinetic energy 1 (eV): 0.00	kinetic energy 2 (eV): 4.60
polar angle (deg): 310.00	X axis (mm): 577.00
*******************  R66 parameters ********************
Step in ch_x_eV: 20	Ch x eV @ Ep=1eV: 5236
binned channels: 6	same region acquisitions: 21
******************************************************
Acq. time (s):  1.00	Number of scans:  1	Total acq. time (s):  1.00
******************************************************
200.000000	12635.000000
201.000000	13781.000000
202.000000	14546.000000
203.000000	15570.000000
204.000000	16341.000000
205.000000	17349.000000
206.000000	17968.000000
207.000000	18645.000000
208.000000	19291.000000
209.000000	20328.000000
210.000000	21223.000000
211.000000	21806.000000
212.000000	22380.000000
213.000000	22528.000000
214.000000	23716.000000
215.000000	24893.000000
216.000000	24567.000000
217.000000	25147.000000
218.000000	25912.000000
219.000000	26880.000000
220.000000	27971.000000
221.000000	28197.000000
222.000000	28422.000000
223.000000	29207.000000
224.000000	29903.000000
225.000000	30670.000000
226.000000	31223.000000
227.000000	31237.000000
228.000000	31737.000000
229.000000	32036.000000
230.000000	32908.000000
231.000000	33675.000000
232.000000	34350.000000
233.000000	34177.000000
234.000000	34381.000000
235.000000	35416.000000
236.000000	35719.000000
237.000000	35693.000000
238.000000	36552.000000
239.000000	36974.000000
240.000000	37280.000000
241.000000	37336.000000
242.000000	37614.000000
243.000000	38224.000000
244.000000	38436.000000
245.000000	38727.000000
246.000000	39033.000000
247.000000	39840.000000
248.000000	39979.000000
249.000000	40026.000000
250.000000	40702.000000
251.000000	40917.000000
252.000000	41517.000000
253.000000	41814.000000
254.000000	42262.000000
255.000000	42405.000000
256.000000	43031.000000
257.000000	42875.000000
258.000000	43282.000000
259.000000	43403.000000
260.000000	43394.000000
261.000000	43700.000000
262.000000	43854.000000
263.000000	44130.000000
264.000000	44853.000000
265.000000	44500.000000
266.000000	44708.000000
267.000000	44578.000000
268.000000	44947.000000
269.000000	45397.000000
270.000000	45761.000000
271.000000	46013.000000
272.000000	46158.000000
273.000000	46124.000000
274.000000	46489.000000
275.000000	46428.000000
276.000000	46475.000000
277.000000	46688.000000
278.000000	46583.000000
279.000000	47091.000000
280.000000	47222.000000
281.000000	47530.000000
282.000000	48069.000000
283.000000	47534.000000
284.000000	48123.000000
285.000000	47256.000000
286.000000	47419.000000
287.000000	46736.000000
288.000000	46284.000000
289.000000	45778.000000
290.000000	45412.000000
291.000000	43950.000000
292.000000	43857.000000
293.000000	43026.000000
294.000000	41715.000000
295.000000	41419.000000
296.000000	40755.000000
297.000000	39852.000000
298.000000	39176.000000
299.000000	37580.000000
300.000000	36483.000000
301.000000	34481.000000
302.000000	32786.000000
303.000000	31316.000000
304.000000	29635.000000
305.000000	28258.000000
306.000000	26791.000000
307.000000	24442.000000
308.000000	22623.000000
309.000000	20438.000000
310.000000	18514.000000
