	aC		aC
5	10500		
5.2	11300		
5.4	12200		
5.6	13300		
5.8	14200		
6	15700		19100
6.2	17400		20600
6.4	18900		22000
6.6	20650		23000
6.8	22000		24500
7	23500		26000
7.2	25000		27800
7.4	26800		29200
7.6	28300		30400
7.8	30100		31600
8	31400		33200
8.2	33400		33700
8.4	34100	37400	33900
8.6	34100	37400	34200
8.8	33100	36600	34500
9	32700	36400	33900
9.2	31900	35400	33500
9.4	29500	34300	32000
9.6	29500	32600	30900
9.8	29300	31300	29600
10	28000	29700	27800
10.2	26500		26600
10.4	25400		25400
10.6	24400		23900
10.8	23300		22700
11	22900		21800
11.2	21300		20900
11.4	20150		19700
11.6	18900		18600
11.8	17600		17700
12	16400		16600
12.2	15100		15200
12.4	13900		14300
12.6	12900		13200
12.8	11800		12200
13	11000		11300
