# theta	I_on	sigma_I_on	flux_on	I_off	sigma_I_off	flux_off
# all currents in nA, theta in deg
330	-63.49	0.53	2300	-84.37	1.1	1800
320	21.6	0.88	940	-24	0.59	735
320	2.09	0.73	850	-17.13	0.73	750
315	-17.9	0.68	840	-39.66	0.51	660
310	-1.9	0.75	1030	-19.41	0.85	880
305	-0.43	0.54	1800	-20.1	0.56	1540
300	-69.5	0.41	3200	-90.78	0.481	2600
295	-2.21	0.66	5050	-25.3	0.56	4050
290	14.2	0.56	6900	-7.468	0.63	5500
280	-51.8	0.96	8400	-69.9	0.5	6750
270	19.1	0.65	8400	-2.21	0.41	6700
260	-26.2	0.7	7900	-46.8	0.42	6200
250	-29.4	0.71	8000	-49.9	0.33	6200
